season,week,celebrity_name,fan_votes_mean,fan_votes_std,fan_votes_ci_lower,fan_votes_ci_upper,fan_votes_median
21,1,Alek Skarlatos,1122030.9809105403,118803.47582670735,896810.065441357,1354724.2642908015,1123738.5505039962
21,1,Chaka Khan,384900.7875124527,40132.43767091512,311502.68997769896,462907.2552909251,383856.1411508642
21,1,Andy Grammer,669905.5623892801,63379.18629640461,543948.5880534032,783708.1881329074,669201.8068553107
21,1,Tamar Braxton,756791.8666363438,77747.0507830327,603684.4111115198,915503.1797494817,757665.2213967073
21,1,Nick Carter,1210879.851353856,123042.06280682879,958244.6748277767,1442410.1561626587,1217068.9049696955
21,1,Hayes Grier,581572.2949701055,57745.66049147335,458306.4344488573,686075.4999526185,582156.9394174586
21,1,Bindi Irwin,1316178.7836314398,141754.99617696553,1036857.110814921,1594468.5768911534,1308700.4340737024
21,1,Kim Zolciak-Biermann,382246.16175925767,37911.94935651962,303594.7352270169,455470.4144597928,381888.6695279856
21,1,Paula Deen,563488.4374703424,56775.652887532255,455441.991814665,677595.7943083665,561365.9688214976
21,2,Gary Busey,362444.15878612024,34516.37686161234,298155.00448440533,429257.260462052,360574.1757885392
21,2,Alexa PenaVega,920484.8702238604,91072.0824259349,741881.4342195294,1107039.8422942907,920410.6993719693
21,2,Carlos PenaVega,1179061.5906522428,114634.75794478806,960236.9867530052,1401290.267086013,1180922.9917692933
